Año,Trimestre,Provincia,Accesos por cada 100 hogares
2019,2,Santa Fe,67.42291993321949
2019,2,Santiago Del Estero,52.78997126317105
2019,2,Tierra Del Fuego,94.79803428023493
2019,2,Tucumán,40.13604621420884
2019,1,Buenos Aires,66.24255522736811
2019,1,Capital Federal,109.1961645588384
2019,1,Catamarca,32.19048895612129
2019,1,Chaco,32.63587657942949
2019,1,Chubut,42.99773633717796
2019,1,Córdoba,65.5173840768055
2019,1,Corrientes,35.13498688698812
2019,1,Entre Ríos,56.78815996169284
2019,1,Formosa,29.67769463043193
2019,1,Jujuy,46.40843874036665
2019,1,La Pampa,76.35457433780647
2019,1,La Rioja,50.18458788326274
2019,1,Mendoza,37.65716497028286
2019,1,Misiones,36.25716826552349
2019,1,Neuquén,58.87800433437489
2019,1,Río Negro,53.57164978100252
2019,1,Salta,40.09834441771615
2019,1,San Juan,31.83305805346546
2019,1,San Luis,67.3379373977716
2019,1,Santa Cruz,23.66765499676892
2019,1,Santa Fe,66.97409094791476
2019,1,Santiago Del Estero,37.51941674600391
2019,1,Tierra Del Fuego,93.37581922721242
2019,1,Tucumán,41.63074443134759
2018,4,Buenos Aires,64.60284663484316
2018,4,Capital Federal,108.2731499705741
2018,4,Catamarca,32.22534616602535
2018,4,Chaco,32.59096087632982
2018,4,Chubut,42.61093609604538
2018,4,Córdoba,65.08926459112368
2018,4,Corrientes,34.56627656869549
2018,4,Entre Ríos,54.37477348639939
2018,4,Formosa,29.73653915732
2018,4,Jujuy,46.53226639132679
2018,4,La Pampa,73.49404828314209
2018,4,La Rioja,50.34799391741723
2018,4,Mendoza,37.7577838459117
2018,4,Misiones,34.4507488777944
2018,4,Neuquén,59.06916926636779
2018,4,Río Negro,51.86140345426057
2018,4,Salta,39.80161006973815
2018,4,San Juan,31.89625207025579
2018,4,San Luis,67.55045369760039
2018,4,Santa Cruz,23.68919410065612
2018,4,Santa Fe,65.58706886191564
2018,4,Santiago Del Estero,37.40072595129344
2018,4,Tierra Del Fuego,93.59257086207943
2018,4,Tucumán,41.75796963877769
2018,3,Buenos Aires,64.44056759752046
2018,3,Capital Federal,108.4459141102192
2018,3,Catamarca,32.91594537411041
2018,3,Chaco,32.28310083307758
2018,3,Chubut,56.39174585226903
2018,3,Córdoba,64.24210026029336
2018,3,Corrientes,34.24993887383215
2018,3,Entre Ríos,50.22201385837749
2018,3,Formosa,29.57657342887844
2018,3,Jujuy,23.26370013719552
2018,3,La Pampa,71.75023651844843
2018,3,La Rioja,50.73304318059562
2018,3,Mendoza,37.99059726799621
2018,3,Misiones,32.10366641805902
2018,3,Neuquén,60.48661674396911
2018,3,Río Negro,50.54264808703746
2018,3,Salta,39.42741342068409
2018,3,San Juan,33.05141650392377
2018,3,San Luis,52.35311497551916
2018,3,Santa Cruz,32.72785029455932
2018,3,Santa Fe,63.4096146162309
2018,3,Santiago Del Estero,36.24961697805127
2018,3,Tierra Del Fuego,92.77191839394062
2018,3,Tucumán,41.68101359528755
2018,2,Buenos Aires,62.78226651094991
2018,2,Capital Federal,106.5349412814669
2018,2,Catamarca,32.8575008674866
2018,2,Chaco,31.25170499603489
2018,2,Chubut,54.90230333735512
2018,2,Córdoba,63.2743661231958
2018,2,Corrientes,33.80975390881165
2018,2,Entre Ríos,49.20261187052838
2018,2,Formosa,29.434226520797
2018,2,Jujuy,23.43220272985447
2018,2,La Pampa,71.04033787278055
2018,2,La Rioja,50.97789073923241
2018,2,Mendoza,36.97287272406129
2018,2,Misiones,31.63090768222182
2018,2,Neuquén,60.23679161402031
2018,2,Río Negro,50.1478946239634
2018,2,Salta,39.93719209989731
2018,2,San Juan,32.94664884868421
2018,2,San Luis,15.15042449135139
2018,2,Santa Cruz,33.33236451006607
2018,2,Santa Fe,62.57079239957442
2018,2,Santiago Del Estero,35.25646421116424
2018,2,Tierra Del Fuego,91.60519629538562
2018,2,Tucumán,41.51256317001742
2018,1,Buenos Aires,62.62621166168454
2018,1,Capital Federal,106.2356717458684
2018,1,Catamarca,32.79361613741535
2018,1,Chaco,30.82992764570247
2018,1,Chubut,53.71560488248906
2018,1,Córdoba,63.51716965201617
2018,1,Corrientes,32.66346087317512
2018,1,Entre Ríos,48.68120241785722
2018,1,Formosa,21.40431025921144
2018,1,Jujuy,23.12126087567754
2018,1,La Pampa,71.75163692275797
2018,1,La Rioja,51.44351011244806
2018,1,Mendoza,37.07215110240331
2018,1,Misiones,30.95673588446963
2018,1,Neuquén,61.51739035156373
2018,1,Río Negro,49.8168613122324
2018,1,Salta,39.7755916329188
2018,1,San Juan,32.60917745169287
2018,1,San Luis,15.14879034827491
2018,1,Santa Cruz,33.55275989857616
2018,1,Santa Fe,62.28199844300957
2018,1,Santiago Del Estero,34.9882694482421
2018,1,Tierra Del Fuego,65.19963702359347
2018,1,Tucumán,41.17600938886616
2017,4,Buenos Aires,57.6096152902582
2017,4,Capital Federal,122.8974241873499
2017,4,Catamarca,28.6209500939249
2017,4,Chaco,30.80815811123654
2017,4,Chubut,51.46309626749354
2017,4,Córdoba,63.33262565207773
2017,4,Corrientes,32.51511831118755
2017,4,Entre Ríos,47.88524529374683
2017,4,Formosa,21.27097668924972
2017,4,Jujuy,22.74208371626703
2017,4,La Pampa,71.04976106378558
2017,4,La Rioja,51.56847440546175
2017,4,Mendoza,33.32562553415048
2017,4,Misiones,31.14218485379854
2017,4,Neuquén,61.24232317785096
2017,4,Río Negro,49.37562976824529
2017,4,Salta,39.79624247145896
2017,4,San Juan,30.29992919128174
2017,4,San Luis,10.58673106975423
2017,4,Santa Cruz,28.91249288280683
2017,4,Santa Fe,61.7127712196729
2017,4,Santiago Del Estero,29.12638610950106
2017,4,Tierra Del Fuego,59.89413596263622
2017,4,Tucumán,39.8968735176797
2017,3,Buenos Aires,55.62938339533962
2017,3,Capital Federal,121.8583259096934
2017,3,Catamarca,32.49092567790524
2017,3,Chaco,29.97592564765763
2017,3,Chubut,46.21537746651841
2017,3,Córdoba,62.30700225296333
2017,3,Corrientes,32.16543574593796
2017,3,Entre Ríos,45.95812167017718
2017,3,Formosa,21.35038438007076
2017,3,Jujuy,22.64536299508256
2017,3,La Pampa,69.13993701142644
2017,3,La Rioja,51.46525230494696
2017,3,Mendoza,35.70493177720565
2017,3,Misiones,30.2059909330319
2017,3,Neuquén,60.8304131050389
2017,3,Río Negro,48.51865893950063
2017,3,Salta,39.83970080690742
2017,3,San Juan,32.36688935995978
2017,3,San Luis,15.4778617902981
2017,3,Santa Cruz,33.29182971658959
2017,3,Santa Fe,60.90635563451515
2017,3,Santiago Del Estero,35.12104488438485
2017,3,Tierra Del Fuego,65.74180473434595
2017,3,Tucumán,39.69537916123259
2017,2,Buenos Aires,56.27214416169132
2017,2,Capital Federal,124.0613937564252
2017,2,Catamarca,25.97712106768351
2017,2,Chaco,29.04552477545342
2017,2,Chubut,35.54601117914412
2017,2,Córdoba,58.97352890800357
2017,2,Corrientes,31.38612136835505
2017,2,Entre Ríos,45.38933102824724
2017,2,Formosa,19.96507644526199
2017,2,Jujuy,22.40341589462406
2017,2,La Pampa,63.49352648099681
2017,2,La Rioja,16.20344580614356
2017,2,Mendoza,31.75860536139077
2017,2,Misiones,30.08924802508593
2017,2,Neuquén,61.91013427666159
2017,2,Río Negro,46.02080512293318
2017,2,Salta,32.73942026362622
2017,2,San Juan,26.96461612024698
2017,2,San Luis,9.513970314868304
2017,2,Santa Cruz,26.24861982870955
2017,2,Santa Fe,52.26961123969867
2017,2,Santiago Del Estero,14.118988073972
